id,"name","district_id",type
224,"गौर नगरपालिका","20",1
225,"बौधीमाई नगरपालिका","20",1
226,"बृन्दावन नगरपालिका","20",1
227,"देवाही गोनाही नगरपालिका","20",1
228,"गढीमाई नगरपालिका","20",1
229,"गुजरा नगरपालिका","20",1
230,"कटहरिया नगरपालिका","20",1
231,"माधव नारायण नगरपालिका","20",1
232,"मौलापुर नगरपालिका","20",1
233,"फतुवाबिजयपुर नगरपालिका","20",1
234,"ईशनाथ नगरपालिका","20",1
235,"परोहा नगरपालिका","20",1
236,"राजपुर नगरपालिका","20",1
237,"राजदेवी नगरपालिका","20",1
238,"दुर्गा भगवती गाउँपालिका","20",0
239,"यमुनामाई गाउँपालिका","20",0
240,"कलैया उपमहानगरपालिका","21",2
241,"जीतपुर सिमरा उपमहानगरपालिका","21",2
242,"कोल्हवी नगरपालिका","21",1
243,"निजगढ नगरपालिका","21",1
244,"महागढीमाई नगरपालिका","21",1
245,"सिम्रौनगढ नगरपालिका","21",1
246,"पचरौता नगरपालिका","21",1
247,"आदर्श कोटवाल गाउँपालिका","21",0
248,"करैयामाई गाउँपालिका","21",0
249,"देवताल गाउँपालिका","21",0
250,"परवानीपुर गाउँपालिका","21",0
251,"प्रसौनी गाउँपालिका","21",0
252,"फेटा गाउँपालिका","21",0
253,"बारागढीगाउँपालिका","21",0
254,"सुवर्ण गाउँपालिका","21",0
255,"विश्रामपुर गाउँपालिका","21",0
256,"बिरगंज महानगरपालिका","22",3
257,"पोखरिया नगरपालिका","22",1
258,"बहुदरमाई नगरपालिका","22",1
259,"पर्सागढी नगरपालिका","22",1
260,"ठोरी गाउँपालिका","22",0
261,"जगरनाथपुर गाउँपालिका","22",0
262,"धोबीनी गाउँपालिका","22",0
263,"छिपहरमाई गाउँपालिका","22",0
264,"पकाहा मैनपुर गाउँपालिका","22",0
265,"बिन्दबासिनी गाउँपालिका","22",0
266,"सखुवा प्रसौनी गाउँपालिका","22",0
267,"पटेर्वा सुगौली गाउँपालिका","22",0
268,"कालिकामाई गाउँपालिका","22",0
269,"जिरा भवानी गाउँपालिका","22",0
270,"कमलामाई नगरपालिका","23",1
271,"दुधौली नगरपालिका","23",1
272,"गोलन्जर गाउँपालिका","23",0
273,"घ्याङलेख गाउँपालिका","23",0
